iter	Passed	Remaining
857	1716	2284
858	1718	2282
859	1720	2280
860	1722	2278
861	1724	2276
862	1725	2273
863	1727	2271
864	1729	2268
865	1730	2266
866	1732	2263
867	1734	2261
868	1736	2259
869	1738	2257
870	1739	2255
871	1741	2253
872	1743	2250
873	1745	2248
874	1746	2245
875	1748	2243
876	1750	2241
877	1752	2239
878	1754	2237
879	1756	2235
880	1757	2232
881	1759	2230
882	1761	2227
883	1762	2225
884	1764	2222
885	1765	2220
886	1767	2218
887	1769	2216
888	1771	2213
889	1772	2211
890	1774	2208
891	1776	2206
892	1777	2203
893	1779	2201
894	1780	2198
895	1782	2196
896	1784	2194
897	1786	2192
898	1788	2190
899	1789	2187
900	1791	2185
901	1793	2182
902	1794	2180
903	1796	2177
904	1797	2175
905	1800	2173
906	1802	2171
907	1803	2169
908	1805	2167
909	1807	2164
910	1808	2162
911	1810	2160
912	1812	2157
913	1813	2155
914	1816	2154
915	1818	2152
916	1820	2149
917	1821	2147
918	1823	2144
919	1825	2142
920	1826	2140
921	1828	2137
922	1830	2135
923	1832	2134
924	1834	2131
925	1836	2129
926	1837	2127
927	1839	2124
928	1841	2122
929	1842	2120
930	1844	2117
931	1846	2115
932	1848	2114
933	1850	2112
934	1853	2110
935	1855	2108
936	1856	2106
937	1859	2104
938	1861	2102
939	1863	2101
940	1865	2099
941	1866	2096
942	1868	2094
943	1870	2092
944	1872	2089
945	1873	2087
946	1875	2085
947	1877	2083
948	1879	2081
949	1881	2079
950	1882	2076
951	1884	2074
952	1886	2072
953	1887	2069
954	1889	2067
955	1891	2065
956	1893	2063
957	1895	2061
958	1896	2059
959	1898	2056
960	1900	2054
961	1901	2052
962	1903	2049
963	1905	2047
964	1906	2045
965	1908	2042
966	1910	2040
967	1912	2038
968	1914	2036
969	1915	2034
970	1917	2031
971	1919	2029
972	1920	2027
973	1922	2025
974	1924	2023
975	1926	2021
976	1928	2019
977	1930	2016
978	1931	2014
979	1933	2012
980	1934	2009
981	1936	2007
982	1938	2005
983	1941	2004
984	1943	2002
985	1945	2001
986	1947	1998
987	1949	1996
988	1951	1994
989	1953	1992
990	1955	1990
991	1956	1988
992	1958	1986
993	1960	1984
994	1962	1982
995	1964	1979
996	1965	1977
997	1967	1975
998	1969	1973
999	1970	1970
1000	1972	1968
1001	1974	1966
1002	1976	1964
1003	1978	1962
1004	1979	1960
1005	1982	1958
1006	1984	1956
1007	1986	1954
1008	1988	1952
1009	1989	1950
1010	1992	1948
1011	1994	1946
1012	1995	1944
1013	1997	1942
1014	2001	1942
1015	2003	1940
1016	2005	1938
1017	2007	1936
1018	2010	1935
1019	2012	1933
1020	2013	1930
1021	2015	1928
1022	2017	1926
1023	2018	1924
1024	2020	1922
1025	2022	1920
1026	2024	1918
1027	2026	1916
1028	2028	1913
1029	2030	1911
1030	2031	1909
1031	2033	1907
1032	2035	1905
1033	2037	1903
1034	2039	1901
1035	2040	1898
1036	2042	1896
1037	2044	1894
1038	2045	1892
1039	2047	1890
1040	2049	1888
1041	2051	1885
1042	2052	1883
1043	2055	1881
1044	2056	1879
1045	2058	1877
1046	2060	1875
1047	2061	1872
1048	2063	1870
1049	2065	1868
1050	2067	1866
1051	2069	1864
1052	2071	1862
1053	2072	1860
1054	2074	1858
1055	2076	1855
1056	2077	1853
1057	2079	1851
1058	2081	1849
1059	2082	1846
1060	2084	1844
1061	2086	1842
1062	2088	1840
1063	2089	1838
1064	2091	1836
1065	2093	1834
1066	2095	1831
1067	2096	1829
1068	2098	1827
1069	2100	1825
1070	2102	1823
1071	2104	1821
1072	2105	1819
1073	2107	1817
1074	2109	1814
1075	2110	1812
1076	2112	1810
1077	2114	1808
1078	2115	1806
1079	2118	1804
1080	2119	1802
1081	2121	1799
1082	2123	1797
1083	2124	1795
1084	2126	1793
1085	2128	1791
1086	2129	1788
1087	2131	1786
1088	2133	1784
1089	2135	1783
1090	2137	1780
1091	2139	1778
1092	2140	1776
1093	2142	1774
1094	2144	1772
1095	2145	1770
1096	2147	1767
1097	2149	1766
1098	2151	1764
1099	2153	1762
1100	2155	1759
1101	2157	1757
1102	2158	1755
1103	2160	1753
1104	2162	1751
1105	2163	1749
1106	2166	1747
1107	2168	1745
1108	2169	1743
1109	2171	1741
1110	2173	1739
1111	2175	1737
1112	2177	1735
1113	2179	1733
1114	2181	1731
1115	2183	1729
1116	2185	1727
1117	2187	1725
1118	2188	1723
1119	2190	1721
1120	2192	1718
1121	2193	1716
1122	2195	1714
1123	2197	1712
1124	2199	1710
1125	2201	1708
1126	2203	1707
1127	2205	1704
1128	2207	1702
1129	2208	1700
1130	2210	1698
1131	2212	1696
1132	2214	1694
1133	2216	1692
1134	2218	1690
1135	2219	1688
1136	2221	1686
1137	2223	1684
1138	2224	1681
1139	2226	1679
1140	2228	1677
1141	2230	1675
1142	2232	1673
1143	2233	1671
1144	2235	1669
1145	2237	1667
1146	2238	1664
1147	2240	1662
1148	2241	1660
1149	2243	1658
1150	2245	1656
1151	2247	1654
1152	2249	1652
1153	2251	1650
1154	2252	1648
1155	2254	1645
1156	2256	1643
1157	2257	1641
1158	2259	1639
1159	2261	1637
1160	2263	1635
1161	2265	1633
1162	2267	1631
1163	2268	1629
1164	2270	1627
1165	2271	1624
1166	2273	1622
1167	2275	1620
1168	2277	1618
1169	2279	1616
1170	2280	1614
1171	2282	1612
1172	2284	1610
1173	2285	1608
1174	2287	1605
1175	2288	1603
1176	2290	1601
1177	2293	1600
1178	2294	1598
1179	2296	1595
1180	2298	1593
1181	2300	1591
1182	2301	1589
1183	2303	1587
1184	2305	1585
1185	2307	1583
1186	2309	1582
1187	2311	1579
1188	2313	1577
1189	2314	1575
1190	2316	1573
1191	2318	1571
1192	2319	1569
1193	2321	1566
1194	2322	1564
1195	2325	1563
1196	2326	1560
1197	2328	1558
1198	2330	1556
1199	2331	1554
1200	2333	1552
1201	2335	1550
1202	2337	1548
1203	2339	1546
1204	2341	1545
1205	2343	1542
1206	2345	1540
1207	2347	1538
1208	2348	1536
1209	2350	1534
1210	2352	1532
1211	2353	1530
1212	2356	1528
1213	2358	1526
1214	2359	1524
1215	2361	1522
1216	2363	1520
1217	2364	1518
1218	2366	1516
1219	2368	1514
1220	2369	1511
1221	2372	1510
1222	2374	1508
1223	2375	1506
1224	2377	1504
1225	2378	1501
1226	2380	1499
1227	2382	1497
1228	2384	1495
1229	2385	1493
1230	2388	1491
1231	2390	1489
1232	2391	1487
1233	2393	1485
1234	2394	1483
1235	2396	1481
1236	2398	1479
1237	2399	1477
1238	2401	1475
1239	2403	1473
1240	2405	1471
1241	2406	1468
1242	2408	1466
1243	2410	1464
1244	2412	1462
1245	2413	1460
1246	2415	1458
1247	2417	1456
1248	2418	1454
1249	2420	1452
1250	2422	1450
1251	2424	1448
1252	2426	1446
1253	2427	1444
1254	2429	1442
1255	2430	1439
1256	2432	1437
1257	2434	1435
1258	2436	1433
1259	2438	1431
1260	2439	1429
1261	2441	1427
1262	2443	1425
1263	2444	1423
1264	2446	1421
1265	2448	1419
1266	2450	1417
1267	2452	1415
1268	2453	1413
1269	2455	1411
1270	2457	1409
1271	2458	1407
1272	2460	1405
1273	2462	1403
1274	2463	1401
1275	2465	1399
1276	2468	1397
1277	2470	1395
1278	2472	1393
1279	2473	1391
1280	2475	1389
1281	2477	1387
1282	2478	1385
1283	2480	1383
1284	2482	1381
1285	2484	1379
1286	2486	1377
1287	2488	1375
1288	2489	1373
1289	2491	1371
1290	2493	1369
1291	2494	1367
1292	2496	1365
1293	2498	1363
1294	2500	1361
1295	2502	1359
1296	2504	1357
1297	2506	1355
1298	2507	1353
1299	2509	1351
1300	2511	1349
1301	2512	1347
1302	2515	1345
1303	2517	1343
1304	2518	1341
1305	2520	1339
1306	2522	1337
1307	2523	1335
1308	2525	1333
1309	2526	1330
1310	2528	1328
1311	2530	1327
1312	2532	1325
1313	2534	1323
1314	2536	1321
1315	2537	1319
1316	2539	1317
1317	2541	1315
1318	2543	1312
1319	2544	1310
1320	2546	1309
1321	2548	1307
1322	2550	1305
1323	2551	1302
1324	2553	1300
1325	2555	1298
1326	2557	1296
1327	2558	1294
1328	2560	1292
1329	2562	1290
1330	2564	1288
1331	2566	1286
1332	2567	1284
1333	2569	1282
1334	2570	1280
1335	2572	1278
1336	2574	1276
1337	2576	1274
1338	2578	1272
1339	2580	1271
1340	2582	1268
1341	2583	1266
1342	2585	1264
1343	2587	1262
1344	2589	1261
1345	2591	1259
1346	2594	1257
1347	2595	1255
1348	2597	1253
1349	2599	1251
1350	2600	1249
1351	2602	1247
1352	2604	1245
1353	2605	1243
1354	2607	1241
1355	2609	1239
1356	2611	1237
1357	2613	1235
1358	2615	1233
1359	2616	1231
1360	2618	1229
1361	2621	1227
1362	2623	1225
1363	2625	1224
1364	2627	1222
1365	2629	1220
1366	2630	1218
1367	2632	1216
1368	2634	1214
1369	2635	1212
1370	2637	1210
1371	2639	1208
1372	2641	1206
1373	2643	1204
1374	2644	1202
1375	2646	1200
1376	2648	1198
1377	2649	1196
1378	2651	1194
1379	2653	1192
1380	2654	1190
1381	2656	1187
1382	2658	1186
1383	2660	1184
1384	2662	1182
1385	2664	1180
1386	2665	1178
1387	2667	1176
1388	2668	1174
1389	2670	1171
1390	2672	1169
1391	2674	1168
1392	2676	1166
1393	2677	1164
1394	2679	1162
1395	2681	1160
1396	2682	1158
1397	2684	1156
1398	2686	1153
1399	2687	1151
1400	2690	1150
1401	2692	1148
1402	2693	1146
1403	2695	1144
1404	2696	1142
1405	2698	1140
1406	2700	1137
1407	2701	1135
1408	2703	1133
1409	2705	1131
1410	2707	1130
1411	2708	1128
1412	2710	1126
1413	2712	1124
1414	2713	1122
1415	2715	1119
1416	2717	1117
1417	2718	1115
1418	2720	1113
1419	2723	1112
1420	2725	1110
1421	2726	1108
1422	2728	1106
1423	2730	1104
1424	2731	1102
1425	2733	1100
1426	2735	1098
1427	2737	1096
1428	2739	1094
1429	2741	1092
1430	2743	1090
1431	2744	1088
1432	2746	1086
1433	2748	1084
1434	2749	1082
1435	2751	1080
1436	2753	1078
1437	2755	1076
1438	2757	1074
1439	2759	1072
1440	2760	1070
1441	2762	1068
1442	2763	1066
1443	2765	1064
1444	2766	1062
1445	2769	1061
1446	2771	1059
1447	2773	1057
1448	2775	1055
1449	2776	1053
1450	2778	1051
1451	2780	1049
1452	2781	1047
1453	2783	1045
1454	2785	1043
1455	2787	1041
1456	2789	1039
1457	2791	1037
1458	2792	1035
1459	2794	1033
1460	2796	1031
1461	2797	1029
1462	2799	1027
1463	2801	1025
1464	2803	1023
1465	2805	1021
1466	2806	1019
1467	2808	1017
1468	2810	1015
1469	2811	1013
1470	2813	1011
1471	2815	1009
1472	2817	1008
1473	2819	1006
1474	2820	1004
1475	2822	1002
1476	2824	1000
1477	2826	998
1478	2827	996
1479	2829	994
1480	2831	992
1481	2833	990
1482	2835	988
1483	2836	986
1484	2838	984
1485	2840	982
1486	2841	980
1487	2843	978
1488	2845	976
1489	2846	974
1490	2849	972
1491	2851	970
1492	2853	968
1493	2854	966
1494	2856	964
1495	2857	962
1496	2859	960
1497	2861	958
1498	2863	956
1499	2865	955
1500	2867	953
1501	2868	951
1502	2870	949
1503	2872	947
1504	2874	945
1505	2875	943
1506	2877	941
1507	2879	939
1508	2881	937
1509	2883	935
1510	2884	933
1511	2886	931
1512	2888	929
1513	2890	927
1514	2892	925
1515	2893	923
1516	2895	921
1517	2897	920
1518	2899	918
1519	2900	916
1520	2902	914
1521	2904	912
1522	2905	910
1523	2907	908
1524	2909	906
1525	2910	904
1526	2913	902
1527	2915	900
1528	2916	898
1529	2918	896
1530	2920	894
1531	2921	892
1532	2923	890
1533	2925	888
1534	2926	886
1535	2929	884
1536	2931	882
1537	2932	881
1538	2934	879
1539	2936	877
1540	2938	875
1541	2940	873
1542	2941	871
1543	2943	869
1544	2946	867
1545	2948	865
1546	2949	863
1547	2951	861
1548	2953	859
1549	2954	857
1550	2956	855
1551	2958	853
1552	2960	852
1553	2962	850
1554	2964	848
1555	2966	846
1556	2967	844
1557	2969	842
1558	2971	840
1559	2973	838
1560	2978	837
1561	2979	835
1562	2981	833
1563	2983	831
1564	2985	829
1565	2986	827
1566	2988	825
1567	2989	823
1568	2992	821
1569	2994	820
1570	2995	818
1571	2997	816
1572	2998	814
1573	3000	812
1574	3002	810
1575	3003	808
1576	3005	806
1577	3008	804
1578	3010	802
1579	3011	800
1580	3013	798
1581	3015	796
1582	3016	794
1583	3018	792
1584	3020	790
1585	3023	789
1586	3025	787
1587	3026	785
1588	3028	783
1589	3030	781
1590	3032	779
1591	3034	777
1592	3035	775
1593	3037	773
1594	3039	771
1595	3041	769
1596	3042	767
1597	3044	765
1598	3046	763
1599	3047	761
1600	3049	759
1601	3051	758
1602	3053	756
1603	3055	754
1604	3057	752
1605	3059	750
1606	3060	748
1607	3062	746
1608	3064	744
1609	3066	742
1610	3067	740
1611	3069	738
1612	3071	736
1613	3073	734
1614	3074	733
1615	3076	731
1616	3078	729
1617	3080	727
1618	3081	725
1619	3083	723
1620	3084	721
1621	3086	719
1622	3088	717
1623	3090	715
1624	3092	713
1625	3094	711
1626	3096	709
1627	3097	707
1628	3099	705
1629	3101	703
1630	3103	702
1631	3105	700
1632	3107	698
1633	3109	696
1634	3111	694
1635	3112	692
1636	3114	690
1637	3116	688
1638	3117	686
1639	3120	684
1640	3121	682
1641	3123	681
1642	3125	679
1643	3127	677
1644	3129	675
1645	3130	673
1646	3132	671
1647	3134	669
1648	3136	667
1649	3139	665
1650	3141	663
1651	3142	662
1652	3144	660
1653	3146	658
1654	3147	656
1655	3149	654
1656	3151	652
1657	3153	650
1658	3155	648
1659	3157	646
1660	3158	644
1661	3160	642
1662	3162	640
1663	3164	638
1664	3166	637
1665	3168	635
1666	3170	633
1667	3171	631
1668	3173	629
1669	3175	627
1670	3176	625
1671	3178	623
1672	3180	621
1673	3181	619
1674	3183	617
1675	3185	615
